Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Percentage Change,Hash Rate
BTC,2014-06-27,597.6683,582.4317,600.72,576.2483,0.0262,125145.7271
BTC,2014-06-28,598.7333,597.6683,604.3383,591.205,0.0018,125145.7271
BTC,2014-06-29,597.5133,598.7333,600.5417,588.98,-0.002,145472.7434
BTC,2014-06-30,647.1225,597.5133,647.1225,597.045,0.083,104506.2812
BTC,2014-07-01,637.8563,647.1225,654.7687,627.7713,-0.0143,115374.9344
BTC,2014-07-02,642.6513,637.8563,653.6588,635.18,0.0075,116210.9847
BTC,2014-07-03,643.9512,642.6513,646.8838,635.2663,0.002,111194.6832
BTC,2014-07-04,628.4163,643.9512,644.1813,625.8013,-0.0241,133768.0399
BTC,2014-07-05,631.03,628.4163,635.8987,624.5013,0.0042,127079.6379
BTC,2014-07-06,631.2988,631.03,632.575,627.4313,0.0004,124571.4872
BTC,2014-07-07,621.2425,631.2988,633.0625,612.2625,-0.0159,116210.9847
BTC,2014-07-08,620.72,621.2425,621.7475,616.1963,-0.0008,135440.1404
BTC,2014-07-09,621.3075,620.72,624.01,616.165,0.0009,132931.9897
BTC,2014-07-10,616.8312,621.3075,621.4675,609.4275,-0.0072,128751.7384
BTC,2014-07-11,634.3575,616.8312,636.6188,613.9488,0.0284,125407.5374
BTC,2014-07-12,627.69,634.3575,635.0463,625.9925,-0.0105,137948.2912
BTC,2014-07-13,621.425,627.69,634.12,621.28,-0.01,132716.1207
BTC,2014-07-14,618.7388,621.425,623.2475,615.9775,-0.0043,124959.9838
BTC,2014-07-15,619.8075,618.7388,622.4612,617.8412,0.0017,118927.4328
BTC,2014-07-16,614.6888,619.8075,620.45,612.8763,-0.0083,142195.8436
BTC,2014-07-17,623.4975,614.6888,627.0463,611.75,0.0143,147366.6015
BTC,2014-07-18,623.9963,623.4975,628.545,616.475,0.0008,137025.0856
BTC,2014-07-19,623.0063,623.9963,626.8088,621.365,-0.0016,148228.3945
BTC,2014-07-20,617.9612,623.0063,623.9738,617.3838,-0.0081,146504.8085
BTC,2014-07-21,622.1075,617.9612,622.2062,616.7338,0.0067,128407.1557
BTC,2014-07-22,618.4475,622.1075,622.4913,617.945,-0.0059,123236.3978
BTC,2014-07-23,617.6875,618.4475,619.9238,616.9338,-0.0012,125821.7767
BTC,2014-07-24,602.9313,617.6875,618.2637,591.455,-0.0239,128407.1557
BTC,2014-07-25,597.585,602.9313,605.9813,593.5875,-0.0089,135301.4996
BTC,2014-07-26,592.9638,597.585,598.1563,590.1763,-0.0077,130395.0986
BTC,2014-07-27,580.11,592.9638,595.8788,579.1513,-0.0217,149954.3634
BTC,2014-07-28,585.4488,580.11,622.9313,511.6638,0.0092,126669.5244
BTC,2014-07-29,580.5175,585.4488,586.625,577.5812,-0.0084,138777.6407
BTC,2014-07-30,564.57,580.5175,581.2813,559.6225,-0.0275,162993.8733
BTC,2014-07-31,583.39,564.57,587.96,564.57,0.0333,143434.6085
BTC,2014-08-01,593.8063,583.39,601.835,582.61,0.0179,142503.215
BTC,2014-08-02,581.52,593.8063,594.1688,580.2263,-0.0207,157405.5119
BTC,2014-08-03,585.8013,581.52,588.2038,578.2088,0.0074,141571.8214
BTC,2014-08-04,582.3338,585.8013,592.8362,581.8438,-0.0059,125738.1308
BTC,2014-08-05,582.5213,582.3338,586.7088,579.8362,0.0003,122943.9502
BTC,2014-08-06,583.6238,582.5213,586.8775,578.8013,0.0019,142503.215
BTC,2014-08-07,595.8088,583.6238,598.7687,581.7175,0.0209,146228.7892
BTC,2014-08-08,585.3963,595.8088,596.385,585.2313,-0.0175,157903.3291
BTC,2014-08-09,586.0588,585.3963,588.9975,584.89,0.0011,169672.5214
BTC,2014-08-10,588.7525,586.0588,593.6975,585.695,0.0046,175557.1175
BTC,2014-08-11,566.3163,588.7525,588.7525,564.92,-0.0381,178499.4155
BTC,2014-08-12,565.5513,566.3163,573.3138,562.8375,-0.0014,177518.6495
